id,subtime,score,walltime,scoreQueue,qtdRecursos
Fila Jobs n:,1,Size:,2,Current time:,1221629.0
w0!1658564,1220533.0,44.0,359400,381857.0,20
w0!1658565,1221629.0,0.0,359400,601.0,15
 
Fila Jobs n:,2,Size:,2,Current time:,1221685.0
w0!1658564,1220533.0,44.0,359400,381913.0,20
w0!1658565,1221629.0,0.0,359400,657.0,15
 
Fila Jobs n:,3,Size:,2,Current time:,1228199.0
w0!1658602,1228199.0,44.0,3600,440160.0,1
w0!1658582,1224475.0,44.0,359400,384485.0,28
 
Fila Jobs n:,4,Size:,2,Current time:,1229103.0
w0!1658608,1229103.0,57.0,2700,572480.0,1
w0!1658582,1224475.0,44.0,359400,385389.0,28
 
Fila Jobs n:,5,Size:,2,Current time:,1229643.0
w0!1658609,1229643.0,57.0,1800,612480.0,1
w0!1658582,1224475.0,44.0,359400,385929.0,28
 
Fila Jobs n:,6,Size:,2,Current time:,1236987.0
w0!1658582,1224475.0,44.0,359400,393273.0,28
w0!1658629,1236987.0,0.0,49949,4324.0,8
 
Fila Jobs n:,7,Size:,3,Current time:,1237747.0
w0!1658636,1237747.0,60.0,359400,519001.0,1
w0!1658582,1224475.0,44.0,359400,394033.0,28
w0!1658629,1236987.0,0.0,49949,5084.0,8
 
Fila Jobs n:,8,Size:,3,Current time:,1238714.0
w0!1658582,1224475.0,44.0,359400,395000.0,28
w0!1658644,1238714.0,36.0,359400,311641.0,1
w0!1658629,1236987.0,0.0,49949,6051.0,8
 
Fila Jobs n:,9,Size:,3,Current time:,1238765.3
w0!1658582,1224475.0,44.0,359400,395051.0,28
w0!1658644,1238714.0,36.0,359400,311692.0,1
w0!1658629,1236987.0,0.0,49949,6103.0,8
 
Fila Jobs n:,10,Size:,4,Current time:,1241559.0
w0!1658582,1224475.0,44.0,359400,397845.0,28
w0!1658661,1241559.0,32.0,1200,456480.0,20
w0!1658644,1238714.0,36.0,359400,314486.0,1
w0!1658629,1236987.0,0.0,49949,8896.0,8
 
